label,count,sum_chars,mean,p50,p90,p95,p99,max,est_tokens_p95,est_tokens_max,pct_over_2048_tok,pct_under_100_tok,pct_empty_or_short
issue.description,6074,30387100,5002,1025,8892,17985,70986,1607285,5138,459224,13.3,30.2,0.1
issue.subject,6223,223362,35,33,62,77,113,255,22,72,0.0,100.0,3.7
issue.decisionReport,3700,1383655,373,60,624,1416,4414,57918,404,16548,0.6,82.2,0.0
issue.composite_poc,6223,226430,36,33,62,77,116,1133,22,323,0.0,99.9,3.7
issue.composite_extended,6223,1605849,258,62,428,734,3475,57936,209,16553,0.4,88.9,2.0
comment.text:all,32298,58133194,1799,187,4433,8475,26336,405766,2421,115933,6.9,69.2,0.0
comment.text:issue,31844,57833828,1816,187,4518,8512,26404,405766,2432,115933,7.0,69.1,0.0
comment.text:problem,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
comments_per_issue,4708,31844,6,3,11,15,31,8248,4,2356,0.0,100.0,87.3
comments_per_problem,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
problem.description,3,946,315,77,825,825,825,825,235,235,0.0,66.7,0.0
problem.workaround,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
problem.rootCause,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
kbArticle.content,113,2551612,22580,6428,69336,91049,248353,262536,26014,75010,47.8,11.5,0.0
